symbol,market_cap,volume,days_listed
BTTCUSDT,5.489916349103352,4990833.04463941,90
XECUSDT,85.45293222100106,2438725.23461761,90
WINUSDT,271.87250146166474,2661242.18345404,90
LUNCUSDT,869.2663441605954,7544405.00052591,90
SPELLUSDT,1165.523948113865,1525554.9059082,90
SHIBUSDT,1506.670074709082,66140038.39811598,90
BONKUSDT,2176.924653205632,69728528.28973836,90
1000SATSUSDT,2804.034067694623,15339354.8560975,90
LEVERUSDT,3262.33776555765,1818471.441225,90
VTHOUSDT,4461.068381329791,1605278.294829,90
DOGSUSDT,5286.4066769053525,9811445.2058377,90
SCUSDT,6583.087866893797,1193236.879988,90
LINAUSDT,7267.5035313147955,1379294.653884,90
FLOKIUSDT,7862.537367794844,42922466.25065424,90
PEPEUSDT,8167.888330779546,401765289.2660869,90
SLPUSDT,9561.031881798799,2419289.443775,90
MBLUSDT,9723.184107966443,2932202.686359,90
HOTUSDT,11727.478240202641,4713616.65603,90
DENTUSDT,13006.379807449552,8607796.03405,90
IOSTUSDT,13045.190732133036,1921518.740924,90
HMSTRUSDT,13793.91753255027,4352766.655901,90
AMBUSDT,14692.5062109511,1900712.31707,90
COSUSDT,18744.60355474766,2403770.6533403,90
IQUSDT,20929.631442328522,2887243.956729,90
QIUSDT,27038.312553744003,1581187.86864,90
1MBABYDOGEUSDT,39549.145005765895,12486312.1190143,90
GUSDT,41196.8092620009,1321681.40077,90
TLMUSDT,42101.9375911294,2958674.46178,90
AMPUSDT,44868.825696444226,5847624.878984,90
WAXPUSDT,51574.992479612796,1230319.47709,90
PDAUSDT,58274.91113044992,1251608.916032,90
NOTUSDT,58614.03391553978,8930981.855179,90
CELRUSDT,61025.06000974108,3132703.285921,90
CKBUSDT,61216.91259194378,5040088.308245,90
NEIROUSDT,61866.088612218366,62177598.38010268,90
ARPAUSDT,66565.61714268019,1306745.526947,90
RVNUSDT,66873.93130082727,3057792.926421,90
DATAUSDT,69389.14041598391,1396721.828019,90
USTCUSDT,70800.7416434919,3465528.22533,90
ZILUSDT,77415.65116475064,3575780.654261,90
BETAUSDT,78808.3667467911,1706917.19183,90
REIUSDT,78884.28566392057,1363836.197509,90
STMXUSDT,78997.10780874974,14370949.210251,90
FIOUSDT,79647.71901345439,1841991.65156,90
VIDTUSDT,84498.4973339962,2618484.57806,90
TFUELUSDT,88409.06946583599,1343602.87942,90
REZUSDT,91814.20157818632,2439272.092938,90
ACHUSDT,94395.51258221839,3530123.88116,90
ANKRUSDT,97913.69702224342,2699578.081672,90
SNTUSDT,103659.2054892852,2362333.76229,90
NKNUSDT,111205.87853526,1147635.4854,90
ASTUSDT,113509.52070156,1025379.5908,90
MEMEUSDT,119965.37718624,10807691.6384,90
SYSUSDT,124425.908424,1036882.5702,90
IOTXUSDT,129951.0253497866,3243100.20838,90
MDTUSDT,136917.44806908944,2258245.886015,90
TURBOUSDT,139212.59239912507,15199540.604774,90
BOMEUSDT,140772.9442232387,21264795.199885,90
JSTUSDT,140811.88629744982,3518537.888492,90
SKLUSDT,147153.8855995728,2963227.66008,90
RDNTUSDT,155766.33495488,2561946.2986,90
RIFUSDT,156818.9981338,1465598.1134,90
ALPHAUSDT,169767.24099816,2011460.2014,90
CTSIUSDT,173670.73915749998,1068743.0102,90
REQUSDT,178439.73900375,1377913.0425,90
LTOUSDT,185558.35223845,1204142.4545,90
HFTUSDT,212199.165497037,1006160.10193,90
VIBUSDT,221330.9539084548,2333730.00747,90
ONEUSDT,222082.92305104667,7770571.135446,90
CLVUSDT,232582.06971192933,3443619.628545,90
IDEXUSDT,263844.315216238,3958060.534297,90
AUDIOUSDT,265520.580265909,1652274.92387,90
VOXELUSDT,268726.41326161404,1471667.10439,90
STPTUSDT,277998.1386925159,4711034.378792,90
TRUUSDT,282782.30567224004,3135058.8212,90
DODOUSDT,292859.45242059,1823533.32765,90
ONTUSDT,293335.74846338003,1203181.9051,90
MAVUSDT,295410.29768727,1414123.0143,90
BSWUSDT,297173.28461273597,3790475.56904,90
RSRUSDT,298322.23478816805,20200584.6958402,90
PONDUSDT,298417.4562699936,12326206.37216,90
ASTRUSDT,306787.87582608097,4956185.39299,90
SUNUSDT,328873.3615276952,12590863.76446,90
KMDUSDT,330962.88341186004,1031358.3154,90
ICXUSDT,345575.69577828,1811193.3741,90
DGBUSDT,356697.8281401213,24265158.376879,90
BEAMXUSDT,375495.6583177956,13120043.96638,90
RAREUSDT,379633.668562128,3253073.42384,90
HARDUSDT,385326.49515950005,2746446.865,90
C98USDT,401258.99772024003,2266999.98712,90
NULSUSDT,413694.80860026,1034754.3987,90
COTIUSDT,439085.79020183394,3409315.8646,90
STRAXUSDT,460055.07838098495,5822744.9485,90
PEOPLEUSDT,468577.7327022406,10079108.038336,90
LRCUSDT,479456.5019778,2316214.9854,90
COMBOUSDT,496475.61532455,1095005.76825,90
JASMYUSDT,514988.2602779129,15022994.757232,90
XVGUSDT,523096.5909878709,33853002.264294,90
CHZUSDT,523310.88767368,5939964.6728,90
OGNUSDT,526321.0122621,4310573.401,90
BATUSDT,613214.2305792,2486675.712,90
ROSEUSDT,625226.769503154,7349556.477056,90
TKOUSDT,641821.018430604,1383831.43258,90
ADXUSDT,642951.01318848,2911915.8206,90
MBOXUSDT,643397.793267453,3218598.26547,90
POWRUSDT,645739.84485164,2414883.4886,90
BURGERUSDT,650116.434533895,1379411.06415,90
CHRUSDT,662488.52556942,2712893.2251,90
WOOUSDT,679158.28822756,2991886.73228,90
NTRNUSDT,689623.14129513,1856820.52045,90
POLYXUSDT,715750.4433460259,2613181.61134,90
UTKUSDT,717537.379580433,8074011.24767,90
GLMRUSDT,721082.9091223109,2770199.42037,90
BLURUSDT,724235.53589248,2829045.06208,90
BNXUSDT,776585.5778570471,1841559.34991,90
ACAUSDT,777957.4223587617,7257065.507078,90
CTXCUSDT,781868.4440756402,3080647.9278,90
ENJUSDT,794715.369474008,3510226.89697,90
JOEUSDT,821806.176341409,2074220.535945,90
DUSKUSDT,844800.56469436,3391411.3396,90
EDUUSDT,846427.02161726,1537281.1871,90
DARUSDT,860556.5743367657,4941183.82141,90
CFXUSDT,878861.5737192,5307135.107,90
TNSRUSDT,896386.864785584,1953763.87268,90
BAKEUSDT,935477.4435997921,3575984.11162,90
OSMOUSDT,942798.3326385336,2066633.784828,90
CATIUSDT,945690.039129069,2432956.10787,90
LISTAUSDT,972846.072892353,2268235.18977,90
GTCUSDT,980777.438458,1259021.102,90
TROYUSDT,981520.0274013014,230403762.300775,90
ALTUSDT,989432.5106649024,8257657.40832,90
VANRYUSDT,1039064.5216792399,8523909.1196,90
UFTUSDT,1078516.0812176,3025290.5504,90
SLFUSDT,1088544.327753285,3283693.29639,90
DIAUSDT,1098584.0781012,1467714.1992,90
PIXELUSDT,1119806.5590591,6587097.40623,90
GHSTUSDT,1156903.6000931999,1089363.0886,90
VETUSDT,1157442.6235091812,23616458.345423,90
KAVAUSDT,1159307.083577405,2417741.57159,90
TUSDUSDT,1209174.2817,1209174.2817,90
GLMUSDT,1238058.172872904,3235061.85752,90
PROSUSDT,1269315.2188667199,2197567.8997,90
LSKUSDT,1300859.1918552,1372214.3374,90
DFUSDT,1306635.5598635264,15296599.85792,90
FISUSDT,1351821.6910874501,2836981.5133,90
BICOUSDT,1362919.6385344453,3983980.235412,90
AERGOUSDT,1404561.0748355999,10640614.2033,90
FIDAUSDT,1439567.080170981,5594897.31897,90
STEEMUSDT,1492605.561051288,6188248.59474,90
STORJUSDT,1498533.63950115,3010917.4995,90
FLUXUSDT,1506082.7443083418,2360261.313757,90
CTKUSDT,1623198.38011652,2039193.94487,90
YGGUSDT,1642801.4759584,3189905.77856,90
AEVOUSDT,1682097.2643792501,4340896.16614,90
PORTALUSDT,1762317.799316813,5371282.53373,90
1INCHUSDT,1799395.412646825,4483915.80525,90
HOOKUSDT,1817725.725404314,4162412.92742,90
BANDUSDT,1834044.4060328996,1221881.6829,90
ZKUSDT,2041747.291448343,10193446.28781,90
IDUSDT,2055613.9120141899,4459999.8091,90
ALICEUSDT,2065339.7190810302,1763740.15293,90
XNOUSDT,2083717.2485662801,1476766.29948,90
AXLUSDT,2177819.956340971,3151693.135081,90
ZRXUSDT,2183452.3980100704,4480714.9559,90
CVCUSDT,2196013.9979788,11986975.9715,90
NFPUSDT,2236435.62708632,7291932.2696,90
BELUSDT,2262878.8779568477,3827602.97354,90
SXPUSDT,2375773.3764307983,7274260.18503,90
TWTUSDT,2380348.7196327,1966905.2385,90
FLOWUSDT,2387113.09824165,3212803.63155,90
CELOUSDT,2428581.434565144,3602167.65732,90
RADUSDT,2452630.0496473,1818109.7477,90
GRTUSDT,2589250.5349740004,11747960.685,90
GALAUSDT,2638330.91662931,66107013.69655,90
LITUSDT,2708351.0514269997,2865979.9486,90
SYNUSDT,2724865.42875456,4366771.52044,90
NEXOUSDT,2778144.7415464805,2030807.55961,90
ELFUSDT,2865827.2131744,5970473.36078,90
HIVEUSDT,2935832.3334605,8269950.2351,90
PYTHUSDT,2975643.3130706,8033594.25775,90
MINAUSDT,2998460.991247004,4866841.40764,90
ERNUSDT,3150682.0646865997,1184912.3974,90
USDPUSDT,3272054.4804672003,3265523.4336,90
API3USDT,3325454.6142193195,1972393.00962,90
DYMUSDT,3433036.4487872,2410840.2028,90
EURIUSDT,3536257.4391707676,3428931.87159,90
QTUMUSDT,3836920.6035976005,1196047.5697,90
LUNAUSDT,3869465.5207001795,8519298.812638,90
SANTOSUSDT,4142268.8026063503,1249553.18329,90
XAIUSDT,4195644.491700523,16843213.53553,90
ACEUSDT,4419497.1046194,2054624.4094,90
HIGHUSDT,4561398.001965486,3122106.777526,90
WUSDT,4626336.607890282,15313924.55442,90
BBUSDT,4914038.176765124,10959050.34961,90
MANAUSDT,4945998.38377414,9718998.5926,90
PSGUSDT,5238634.56304048,1585543.14862,90
STRKUSDT,5678706.647731872,11486057.13538,90
PYRUSDT,6095227.217345266,1937453.025221,90
GMTUSDT,6110690.570069999,40737937.1338,90
POLUSDT,6403201.86072024,13107885.07824,90
KDAUSDT,6462231.043428784,6578003.912285,90
UMAUSDT,6567137.429024001,2403783.832,90
DEGOUSDT,6809769.176646721,2319403.67052,90
